City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
10,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
12,Hilo,US,78.24,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Dakar,SN,72.48,broken clouds,14.6937,-17.4441,Redface Studios Meublés
19,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Soyo,AO,78.55,overcast clouds,-6.1349,12.3689,Hotel Mpampa
30,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
31,Saint George,US,73.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
36,East London,ZA,73.27,overcast clouds,-33.0153,27.9116,Tu Casa
37,Mana,GF,76.24,scattered clouds,5.6592,-53.7767,LE SAMANA
40,Sao Joao Da Barra,BR,76.26,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
43,Kavieng,PG,81.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
47,Ancud,CL,73.22,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
49,Bahia Blanca,AR,81.93,clear sky,-38.7196,-62.2724,Hotel Argos
52,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Ambilobe,MG,72.28,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
65,Cockburn Town,TC,77.72,clear sky,21.4612,-71.1419,Osprey Beach Hotel
70,Mogadishu,SO,76.87,overcast clouds,2.0371,45.3438,Hotel Juba
73,Dingle,PH,75.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
80,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
83,Takoradi,GH,78.21,light rain,4.8845,-1.7554,Raybow International Hotel
85,Les Cayes,HT,77.23,clear sky,18.2,-73.75,Villa Orphee
93,Bitung,ID,74.25,broken clouds,1.4451,125.1824,K2 Lembeh
99,Bima,ID,77.14,overcast clouds,-8.4667,118.7167,Lambitu Hotel
100,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
102,Namibe,AO,75.02,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
104,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
108,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
109,Half Moon Bay,US,81.19,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
116,Arraial Do Cabo,BR,75.81,clear sky,-22.9661,-42.0278,Pousada Porto Praia
119,Fare,PF,81.1,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
120,Itapirapua,BR,72.73,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
123,Guerrero Negro,MX,81.18,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
125,Sungairaya,ID,76.42,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
129,Abonnema,NG,81.23,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
131,Coxim,BR,81.16,scattered clouds,-18.5067,-54.76,Hotel Avenida
132,Sao Filipe,CV,73.94,broken clouds,14.8961,-24.4956,Hotel Xaguate
145,Gurupi,BR,73.35,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
149,Key Largo,US,73.99,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
151,Butaritari,KI,80.8,moderate rain,3.0707,172.7902,Isles Sunset Lodge
152,Bowen,AU,81.48,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
153,Banda Aceh,ID,77.9,scattered clouds,5.5577,95.3222,Sulthan Hotel International
155,Huarmey,PE,74.46,scattered clouds,-10.0681,-78.1522,Hotel Miramar
156,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
160,Vaini,TO,80.71,overcast clouds,-21.2,-175.2,Keleti Beach Resort
163,Fortuna,US,75.18,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
164,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
166,Diamantino,BR,74.3,light rain,-14.4086,-56.4461,Hotel Delta
167,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
169,Nicoya,CR,81.95,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
176,Itarema,BR,79.57,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
189,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
200,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
201,Tari,NG,76.06,broken clouds,12.4086,4.4914,name
209,Burnie,AU,74.95,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
