City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leningradskiy,RU,69.3833,178.4167,-16.71,91,93,5.93,overcast clouds
1,Albany,US,42.6001,-73.9662,23.74,53,100,5.99,overcast clouds
2,Ahipara,NZ,-35.1667,173.1667,68.63,57,86,8.86,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,48.11,45,9,18.75,clear sky
4,Rikitea,PF,-23.1203,-134.9692,78.62,71,66,12.82,broken clouds
5,Horki,BY,54.2861,30.9842,22.05,87,53,12.19,broken clouds
6,Fethiye,TR,36.6217,29.1164,46.27,74,4,4.21,clear sky
7,Bud,US,39.447,-86.1758,22.69,74,100,9.71,overcast clouds
8,Nouadhibou,MR,20.931,-17.0347,64.81,77,99,21.92,overcast clouds
9,Darnah,LY,32.767,22.6367,55.29,72,0,8.99,clear sky
10,Avarua,CK,-21.2078,-159.775,80.65,78,40,2.3,scattered clouds
11,Kapaa,US,22.0752,-159.319,82.38,61,40,16.11,scattered clouds
12,Hilo,US,19.7297,-155.09,78.24,85,13,5.01,few clouds
13,Lompoc,US,34.6391,-120.4579,85.78,48,0,1.99,clear sky
14,Tiarei,PF,-17.5333,-149.3333,87.82,75,85,15.84,light rain
15,Dakar,SN,14.6937,-17.4441,72.48,67,68,19.13,broken clouds
16,Kodiak,US,57.79,-152.4072,38.71,65,0,10.36,clear sky
17,Torbay,CA,47.6666,-52.7314,36.57,74,98,4.0,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,38.86,81,75,16.11,broken clouds
19,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,42,12.03,light rain
20,Nanortalik,GL,60.1432,-45.2371,27.14,90,100,8.05,light snow
21,Kurilsk,RU,45.2333,147.8833,27.39,73,46,8.84,scattered clouds
22,Yerbogachen,RU,61.2767,108.0108,-30.77,100,88,3.27,overcast clouds
23,Tuatapere,NZ,-46.1333,167.6833,63.82,50,46,1.66,scattered clouds
24,Jamestown,US,42.097,-79.2353,19.09,94,100,4.23,overcast clouds
25,Severo-Kurilsk,RU,50.6789,156.125,25.16,67,24,13.42,few clouds
26,Saskylakh,RU,71.9167,114.0833,-17.9,89,46,3.0,scattered clouds
27,Soyo,AO,-6.1349,12.3689,78.55,86,98,6.58,overcast clouds
28,Mataura,NZ,-46.1927,168.8643,63.48,48,37,2.28,scattered clouds
29,Bilibino,RU,68.0546,166.4372,-29.92,100,85,2.46,overcast clouds
30,Cayenne,GF,4.9333,-52.3333,80.1,84,75,5.99,light rain
31,Saint George,US,37.1041,-113.5841,73.87,13,0,1.99,clear sky
32,Luderitz,NA,-26.6481,15.1594,72.36,65,0,9.86,clear sky
33,Klaksvik,FO,62.2266,-6.589,34.72,70,100,28.99,overcast clouds
34,Codrington,AU,-38.2667,141.9667,67.35,68,73,8.48,broken clouds
35,Lebu,CL,-37.6167,-73.65,62.22,81,75,6.62,broken clouds
36,East London,ZA,-33.0153,27.9116,73.27,81,87,11.56,overcast clouds
37,Mana,GF,5.6592,-53.7767,76.24,90,31,9.04,scattered clouds
38,Gebre Guracha,ET,9.8,38.4,56.44,49,11,4.43,few clouds
39,Bethel,US,41.3712,-73.414,28.76,67,100,6.91,overcast clouds
40,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.26,89,5,11.74,clear sky
41,Ponta Do Sol,PT,32.6667,-17.1,62.71,69,95,1.97,overcast clouds
42,Ostrovnoy,RU,68.0531,39.5131,20.61,63,100,24.85,overcast clouds
43,Kavieng,PG,-2.5744,150.7967,81.99,77,97,6.24,moderate rain
44,Srednekolymsk,RU,67.45,153.6833,-32.66,99,24,6.49,few clouds
45,Nome,US,64.5011,-165.4064,-5.73,59,0,0.0,clear sky
46,Molchanovo,RU,57.5817,83.7692,8.47,95,100,8.99,light snow
47,Ancud,CL,-41.8697,-73.8203,73.22,79,12,2.86,few clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,66.22,69,0,3.44,clear sky
49,Bahia Blanca,AR,-38.7196,-62.2724,81.93,20,0,3.67,clear sky
50,Shelburne,CA,44.0787,-80.2041,12.76,62,100,5.12,overcast clouds
51,Salekhard,RU,66.53,66.6019,-16.92,100,100,1.92,overcast clouds
52,Faanui,PF,-16.4833,-151.75,80.92,73,100,13.89,light rain
